"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","User registration","Register user","0","0","14","0","0"
"","Currencies","Calculate rate","0","0","16","3","0"
"","Spendings","Add spendings","0","0","9","1","0"
"","User profile","Update profile","0","0","4","0","0"
"","User data management","User management","0","0","14","1","0"
"","Spendings","Delete spendings","0","0","5","0","0"
"","User authorization","Authorize user","0","0","3","0","0"
"","User data management","Friends management","0","0","15","0","0"
"","Spendings","Update spendings","0","0","10","0","0"
"","Categories","Add categories","0","0","9","1","0"
"","Spendings","Search spendings","0","0","5","0","0"
"","Spendings","Get spendings","0","0","3","1","0"
"","Categories","Update categories","0","0","6","0","0"
"","Categories","Get categories","0","0","2","0","0"
"","Currencies","Get all currencies","0","0","1","0","0"
"","Categories","Display categories","0","0","1","0","0"
